Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,FT%,TRB,AST,PF,PTS,HoF
Cliff Hagan,745.0,29.17,7.03,15.61,0.45,7.03,15.61,0.45,3.99,5.0,0.8,6.87,3.01,3.21,18.05,Yes
Cliff Meely,352.0,18.87,3.33,8.01,0.42,3.33,8.01,0.42,1.28,1.89,0.68,5.11,1.18,2.81,7.94,No
Cliff Pondexter,197.0,14.5,1.52,3.66,0.42,1.52,3.66,0.42,0.9,1.36,0.67,3.79,1.11,1.43,3.95,No
Cliff Williams,3.0,6.0,0.67,3.0,0.22,0.67,3.0,0.22,0.0,0.0,0.0,1.0,0.67,2.33,1.33,No
Clifford Ray,637.0,27.35,3.24,6.15,0.53,3.24,6.15,0.53,1.64,2.75,0.59,9.84,2.34,3.39,8.12,No
Clint Wager,63.0,0.0,0.9,3.22,0.28,0.9,3.22,0.28,0.46,0.75,0.62,0.0,1.43,2.78,2.27,No
Clyde Lee,822.0,27.18,2.96,6.87,0.43,2.96,6.87,0.43,1.63,2.63,0.62,10.2,1.09,3.03,7.55,No
Clyde Lovellette,704.0,27.1,6.8,15.33,0.44,6.8,15.33,0.44,3.38,4.46,0.76,9.46,1.56,3.25,16.97,Yes
Clyde Mayes,83.0,12.67,1.49,3.45,0.43,1.49,3.45,0.43,0.75,1.34,0.56,3.55,0.52,2.14,3.73,No
Coby Dietrick,237.0,21.67,3.14,6.59,0.48,3.14,6.59,0.48,1.21,1.6,0.76,4.41,2.38,2.97,7.49,No
Connie Dierking,828.0,21.14,3.88,9.35,0.41,3.88,9.35,0.41,1.84,2.67,0.69,6.55,1.43,2.84,9.59,No
Connie Hawkins,578.0,34.59,5.91,12.56,0.47,5.91,12.56,0.47,4.15,5.3,0.78,7.85,4.25,2.91,15.97,Yes
Connie Norman,99.0,12.25,2.8,6.37,0.44,2.8,6.37,0.44,0.41,0.51,0.82,1.46,0.95,1.32,6.01,No
Connie Rea,20.0,7.7,0.45,2.15,0.21,0.45,2.15,0.21,0.25,0.8,0.31,1.55,0.8,0.65,1.15,No
Connie Simmons,433.0,16.25,3.4,9.48,0.36,3.4,9.48,0.36,2.61,3.81,0.68,5.3,1.7,3.18,9.41,No
Corky Calhoun,605.0,20.25,2.2,4.82,0.46,2.2,4.82,0.46,0.92,1.17,0.78,3.67,1.12,2.47,5.31,No
Corky Devlin,210.0,19.17,2.67,7.3,0.37,2.67,7.3,0.37,1.79,2.41,0.74,2.14,2.12,1.6,7.12,No
Cornelius Cash,6.0,8.17,1.5,3.83,0.39,1.5,3.83,0.39,0.5,1.0,0.5,2.67,0.17,1.33,3.5,No
Cornell Warner,589.0,22.55,2.61,5.77,0.45,2.61,5.77,0.45,1.06,1.56,0.68,7.25,1.08,2.73,6.28,No
Cotton Nash,90.0,7.93,1.04,3.22,0.32,1.04,3.22,0.32,0.96,1.16,0.83,1.84,0.42,1.27,3.04,No
Craig Raymond,27.0,6.56,0.81,2.37,0.34,0.81,2.37,0.34,0.41,0.63,0.65,2.52,0.3,1.7,2.04,No
Craig Spitzer,10.0,4.4,0.8,2.1,0.38,0.8,2.1,0.38,0.2,0.3,0.67,2.4,0.0,0.4,1.8,No
Curly Armstrong,101.0,0.0,2.14,7.41,0.29,2.14,7.41,0.29,2.26,3.28,0.69,0.88,2.5,3.11,6.53,No
Curtis Perry,555.0,27.9,3.76,8.42,0.45,3.76,8.42,0.45,1.52,2.2,0.69,8.71,1.81,3.48,9.04,No
Curtis Rowe,590.0,30.98,4.78,9.91,0.48,4.78,9.91,0.48,2.09,2.98,0.7,7.23,1.58,2.29,11.65,No
D.C. Wilcutt,37.0,0.0,0.65,1.97,0.33,0.65,1.97,0.33,0.78,1.14,0.69,0.0,1.32,0.73,2.08,No
Dale Hamilton,14.0,0.0,0.57,2.36,0.24,0.57,2.36,0.24,0.64,1.36,0.47,0.0,1.21,2.14,1.79,No
Dale Schlueter,586.0,16.42,2.01,4.04,0.5,2.01,4.04,0.5,1.33,1.96,0.68,5.18,1.57,2.33,5.34,No
Dan Anderson,95.0,11.23,1.42,3.01,0.47,1.42,3.01,0.47,0.81,0.96,0.85,0.96,1.75,1.07,3.65,No
Dan Issel,242.0,33.47,7.65,14.87,0.51,7.65,14.87,0.51,4.91,6.3,0.78,9.36,3.04,3.13,20.21,Yes
Dan King,12.0,8.58,0.58,1.83,0.32,0.58,1.83,0.32,0.42,0.83,0.5,2.08,0.25,0.42,1.58,No
Dan Roundfield,220.0,30.03,5.57,11.41,0.49,5.57,11.41,0.49,3.1,4.36,0.71,9.93,1.8,4.08,14.24,No
Dan Swartz,39.0,8.59,1.46,3.85,0.38,1.46,3.85,0.38,1.56,1.85,0.85,2.26,0.54,2.36,4.49,No
Dan Tieman,29.0,6.07,0.52,1.97,0.26,0.52,1.97,0.26,0.14,0.34,0.4,0.76,0.93,0.62,1.17,No
Danny Doyle,4.0,6.25,1.5,3.0,0.5,1.5,3.0,0.5,1.0,1.25,0.8,2.0,0.75,1.0,4.0,No
Danny Finn,142.0,23.92,2.69,8.23,0.33,2.69,8.23,0.33,1.96,3.27,0.6,3.86,3.99,3.19,7.34,No
Danny Wagner,11.0,0.0,1.73,4.91,0.35,1.73,4.91,0.35,2.82,3.18,0.89,0.0,1.64,2.0,6.27,No
Darnell Hillman,316.0,24.85,3.96,8.41,0.47,3.96,8.41,0.47,1.96,3.29,0.6,7.21,1.46,3.86,9.87,No
Darrall Imhoff,850.0,21.59,2.77,6.06,0.46,2.77,6.06,0.46,1.39,2.35,0.59,7.33,1.71,2.99,6.93,No
Darrell Elston,5.0,8.0,0.4,2.8,0.14,0.4,2.8,0.14,0.2,0.4,0.5,1.2,0.4,1.2,1.0,No
Darryl Dawkins,244.0,18.88,3.84,6.99,0.55,3.84,6.99,0.55,1.48,2.29,0.65,6.0,0.98,3.0,9.17,No
Dave Bing,901.0,36.37,7.73,17.5,0.44,7.73,17.5,0.44,4.89,6.31,0.77,3.8,5.99,2.9,20.34,Yes
Dave Budd,353.0,18.1,2.73,5.93,0.46,2.73,5.93,0.46,1.65,2.41,0.68,4.6,0.95,2.31,7.1,No
Dave Corzine,59.0,9.02,1.07,2.0,0.53,1.07,2.0,0.53,0.83,1.07,0.78,2.49,0.83,1.14,2.97,No
Dave Cowens,660.0,39.99,7.86,17.06,0.46,7.86,17.06,0.46,2.85,3.64,0.78,14.6,3.97,3.89,18.56,Yes
Dave DeBusschere,951.0,35.9,6.55,15.13,0.43,6.55,15.13,0.43,2.98,4.27,0.7,11.05,2.83,3.25,16.08,Yes
Dave Deutsch,19.0,4.89,0.32,1.89,0.17,0.32,1.89,0.17,0.47,1.05,0.45,1.11,0.79,0.89,1.11,No
Dave Fedor,7.0,3.86,0.43,1.43,0.3,0.43,1.43,0.3,0.0,0.14,0.0,0.86,0.14,0.57,0.86,No
Dave Gambee,870.0,17.92,3.48,8.24,0.42,3.48,8.24,0.42,2.82,3.43,0.82,4.77,0.92,2.69,9.79,No
Dave Gunther,1.0,5.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,3.0,1.0,2.0,No
Dave Lattin,112.0,11.11,1.67,4.18,0.4,1.67,4.18,0.4,1.18,1.83,0.64,3.81,0.55,2.29,4.52,No
Dave Meyers,202.0,26.07,4.0,8.88,0.45,4.0,8.88,0.45,2.85,4.14,0.69,6.55,2.11,2.66,10.86,No
Dave Minor,175.0,27.3,2.82,7.78,0.36,2.82,7.78,0.36,1.7,2.26,0.75,4.45,2.38,3.33,7.33,No
Dave Newmark,145.0,12.21,2.15,5.32,0.4,2.15,5.32,0.4,1.0,1.49,0.67,3.59,0.69,2.3,5.3,No
Dave Piontek,490.0,19.3,3.03,7.72,0.39,3.03,7.72,0.39,1.42,2.19,0.65,4.55,1.22,2.13,7.49,No
Dave Robisch,316.0,18.16,2.76,6.35,0.43,2.76,6.35,0.43,1.58,1.99,0.79,4.88,1.36,1.7,7.1,No
Dave Schellhase,73.0,7.03,1.19,3.41,0.35,1.19,3.41,0.35,0.47,0.82,0.57,1.04,0.82,0.96,2.85,No
Dave Scholz,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,No
Dave Sorenson,271.0,17.02,3.0,6.85,0.44,3.0,6.85,0.44,1.54,2.01,0.77,4.45,1.17,1.9,7.55,No
Dave Stallworth,600.0,20.89,3.7,8.46,0.44,3.7,8.46,0.44,2.08,2.8,0.74,4.81,1.72,2.46,9.47,No
Dave Twardzik,213.0,25.01,3.32,5.73,0.58,3.32,5.73,0.58,3.21,3.84,0.84,2.14,3.13,2.81,9.85,No
Dave Wohl,606.0,19.99,2.49,5.77,0.43,2.49,5.77,0.43,1.26,1.68,0.75,1.31,3.47,2.48,6.23,No
Dave Zeller,61.0,4.56,0.59,1.67,0.35,0.59,1.67,0.35,0.3,0.39,0.75,0.44,0.95,0.61,1.48,No
David Thompson,238.0,36.54,9.84,19.17,0.51,9.84,19.17,0.51,6.03,7.87,0.77,4.19,3.88,2.64,25.72,Yes
Dean Meminger,416.0,20.56,2.41,5.08,0.48,2.41,5.08,0.48,1.31,2.08,0.63,2.61,2.51,1.68,6.13,No
Dean Tolson,80.0,8.51,1.91,3.5,0.55,1.91,3.5,0.55,1.2,2.2,0.55,2.24,0.42,1.21,5.03,No
Dee Gibson,44.0,0.0,1.75,5.57,0.31,1.75,5.57,0.31,2.89,4.02,0.72,0.0,2.86,2.57,6.39,No
Del Beshore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Dennis Awtrey,795.0,19.25,1.88,4.09,0.46,1.88,4.09,0.46,1.04,1.62,0.64,4.66,2.09,2.34,4.81,No
Dennis Bell,63.0,8.65,1.21,3.22,0.37,1.21,3.22,0.37,0.37,0.68,0.53,1.89,0.44,1.03,2.78,No
Dennis Boyd,5.0,8.0,0.6,2.4,0.25,0.6,2.4,0.25,0.0,0.0,0.0,0.4,1.4,1.0,1.2,No
Dennis DuVal,50.0,5.34,0.78,2.16,0.36,0.78,2.16,0.36,0.36,0.54,0.67,0.62,0.68,0.98,1.92,No
Dennis Hamilton,69.0,7.52,1.32,2.54,0.52,1.32,2.54,0.52,0.22,0.26,0.83,1.46,0.55,0.94,2.86,No
Dennis Johnson,242.0,27.24,4.69,10.57,0.44,4.69,10.57,0.44,3.23,4.48,0.72,4.01,2.62,2.66,12.6,Yes
Dennis Stewart,2.0,3.0,0.5,2.0,0.25,0.5,2.0,0.25,1.0,1.0,1.0,1.5,0.5,0.0,2.0,No
Dermie O'Connell,122.0,0.0,1.82,6.97,0.26,1.82,6.97,0.26,0.77,1.46,0.53,0.0,1.49,1.49,4.41,No
Derrek Dickey,368.0,15.86,2.56,5.48,0.47,2.56,5.48,0.47,0.77,1.02,0.75,4.54,1.0,1.81,5.89,No
Dick Atha,43.0,10.42,1.23,3.14,0.39,1.23,3.14,0.39,0.72,0.91,0.79,1.53,1.19,1.47,3.19,No
Dick Barnett,971.0,29.8,6.21,13.62,0.46,6.21,13.62,0.46,3.39,4.45,0.76,2.9,2.81,2.59,15.82,No
Dick Bunt,52.0,10.42,1.12,4.04,0.28,1.12,4.04,0.28,1.31,1.85,0.71,1.08,0.65,1.54,3.54,No
Dick Cunningham,358.0,10.59,1.14,2.8,0.41,1.14,2.8,0.41,0.55,0.86,0.64,3.7,0.62,1.4,2.83,No
Dick Dickey,45.0,9.78,0.89,3.02,0.29,0.89,3.02,0.29,1.04,1.53,0.68,1.8,1.11,1.76,2.82,No
Dick Duckett,34.0,12.47,1.59,4.65,0.34,1.59,4.65,0.34,0.71,0.79,0.89,1.65,1.38,1.76,3.88,No
Dick Farley,211.0,18.11,2.28,5.93,0.38,2.28,5.93,0.38,1.97,2.82,0.7,2.5,1.83,2.03,6.53,No
Dick Garmaker,491.0,28.69,4.78,11.88,0.4,4.78,11.88,0.4,3.58,4.56,0.78,4.2,2.69,2.76,13.13,No
Dick Garrett,379.0,23.89,3.9,9.28,0.42,3.9,9.28,0.42,1.63,1.89,0.86,2.75,2.3,2.85,9.44,No
Dick Gibbs,400.0,12.61,1.89,4.75,0.4,1.89,4.75,0.4,1.09,1.38,0.79,1.8,0.8,1.86,4.86,No
Dick Groat,26.0,25.5,3.85,10.46,0.37,3.85,10.46,0.37,4.19,5.31,0.79,3.31,2.65,3.46,11.88,No
Dick Hemric,138.0,17.28,1.96,5.2,0.38,1.96,5.2,0.38,2.34,3.5,0.67,5.09,0.74,1.74,6.25,No
Dick Knostman,5.0,9.4,0.6,2.0,0.3,0.6,2.0,0.3,1.4,2.2,0.64,3.4,1.2,1.8,2.6,No
Dick McGuire,738.0,23.27,2.78,7.13,0.39,2.78,7.13,0.39,2.47,3.84,0.64,3.77,5.7,2.3,8.02,Yes
Dick Mehen,259.0,8.86,3.95,10.48,0.38,3.95,10.48,0.38,1.91,2.68,0.71,2.81,2.31,2.74,9.82,No
Dick O'Keefe,85.0,0.0,2.15,7.42,0.29,2.15,7.42,0.29,2.06,2.85,0.72,0.44,1.16,3.47,6.36,No
Dick Ricketts,280.0,27.21,3.51,10.85,0.32,3.51,10.85,0.32,2.19,3.15,0.7,6.52,2.33,4.14,9.22,No
Dick Rosenthal,85.0,18.75,2.56,7.08,0.36,2.56,7.08,0.36,1.64,2.33,0.7,4.14,2.0,2.36,6.76,No
Dick Schnittker,364.0,18.53,2.55,6.74,0.38,2.55,6.74,0.38,3.22,3.9,0.82,3.77,1.32,2.79,8.32,No
Dick Schulz,100.0,0.0,1.26,4.24,0.3,1.26,4.24,0.3,1.66,2.2,0.75,0.0,1.32,2.12,4.18,No
Dick Snyder,1046.0,26.88,5.11,10.4,0.49,5.11,10.4,0.49,2.05,2.49,0.82,2.92,2.97,2.61,12.27,No
Dick Surhoff,58.0,9.4,0.97,3.28,0.29,0.97,3.28,0.29,1.14,1.59,0.72,1.62,0.55,1.53,3.07,No
Dick Triptow,4.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.5,0.5,1.0,0.0,0.25,1.25,0.5,No
Dick Van Arsdale,921.0,34.5,5.88,12.66,0.46,5.88,12.66,0.46,4.62,5.85,0.79,4.13,3.32,2.8,16.37,No
Dike Eddleman,333.0,16.15,4.54,13.03,0.35,4.54,13.03,0.35,2.84,4.53,0.63,3.56,2.06,3.63,11.91,No
Dillard Crocker,190.0,12.33,2.85,8.85,0.32,2.85,8.85,0.32,2.93,4.19,0.7,1.72,1.38,3.61,8.63,No
Dolph Schayes,996.0,29.92,5.89,15.49,0.38,5.89,15.49,0.38,6.74,7.94,0.85,11.3,3.08,3.45,18.51,Yes
Don Ackerman,28.0,7.86,0.5,2.25,0.22,0.5,2.25,0.22,0.54,1.0,0.54,0.54,0.82,1.54,1.54,No
Don Adams,634.0,25.79,3.56,8.93,0.4,3.56,8.93,0.4,1.93,2.59,0.75,5.8,1.78,3.29,9.06,No
Don Anielak,1.0,10.0,0.0,4.0,0.0,0.0,4.0,0.0,3.0,4.0,0.75,2.0,0.0,0.0,3.0,No
Don Asmonga,7.0,6.57,0.29,2.14,0.13,0.29,2.14,0.13,0.14,0.14,1.0,0.14,0.71,1.71,0.71,No
Don Barksdale,262.0,28.47,3.88,10.48,0.37,3.88,10.48,0.37,3.29,4.99,0.66,7.97,2.1,3.59,11.05,Yes
Don Bielke,7.0,5.43,0.71,1.29,0.56,0.71,1.29,0.56,0.57,1.0,0.57,1.29,0.14,1.29,2.0,No
Don Boven,262.0,18.05,2.73,7.94,0.34,2.73,7.94,0.34,3.0,4.26,0.7,2.94,1.8,3.74,8.45,No
Don Buse,245.0,32.81,3.42,7.51,0.46,3.42,7.51,0.46,1.21,1.52,0.8,3.0,5.84,1.72,8.05,No
Don Carlson,66.0,0.0,1.76,5.09,0.35,1.76,5.09,0.35,1.17,1.68,0.69,0.23,1.44,2.26,4.68,No
Don Chaney,733.0,24.17,3.48,7.94,0.44,3.48,7.94,0.44,1.63,2.09,0.78,4.03,2.21,2.87,8.59,No
Don Ford,316.0,22.48,3.4,7.3,0.47,3.4,7.3,0.47,1.0,1.33,0.75,4.14,1.54,2.35,7.79,No
Don Grate,2.0,0.0,0.5,3.0,0.17,0.5,3.0,0.17,1.0,1.0,1.0,0.0,1.5,1.5,2.0,No
Don Hanrahan,18.0,6.72,0.61,1.78,0.34,0.61,1.78,0.34,0.61,0.83,0.73,1.67,0.61,1.33,1.83,No
Don Henriksen,208.0,26.88,2.29,6.19,0.37,2.29,6.19,0.37,2.16,3.23,0.67,7.09,1.69,2.99,6.75,No
Don Kojis,814.0,23.64,4.85,10.88,0.45,4.85,10.88,0.45,2.52,3.5,0.72,5.6,1.37,2.38,12.22,No
Don Lofgran,270.0,12.67,1.91,5.9,0.32,1.91,5.9,0.32,1.75,2.57,0.68,3.03,0.93,2.31,5.56,No
Don May,437.0,17.25,3.52,7.79,0.45,3.52,7.79,0.45,1.63,2.04,0.8,3.48,1.04,2.03,8.68,No
Don Nelson,1053.0,20.59,3.81,7.95,0.48,3.81,7.95,0.48,2.72,3.56,0.76,4.93,1.45,2.33,10.35,Yes
Don Ohl,797.0,30.53,6.37,14.68,0.43,6.37,14.68,0.43,2.98,4.05,0.74,2.93,3.01,2.76,15.72,No
Don Otten,414.0,9.57,3.11,8.73,0.36,3.11,8.73,0.36,4.55,5.96,0.76,4.27,1.38,3.64,10.76,No
Don Putman,57.0,0.0,0.89,3.51,0.26,0.89,3.51,0.26,0.58,0.91,0.63,0.0,1.58,2.04,2.37,No
Don Ray,61.0,0.0,2.13,6.61,0.32,2.13,6.61,0.32,1.7,2.44,0.7,0.0,0.98,2.41,5.97,No
Don Rehfeldt,137.0,11.5,2.64,7.27,0.36,2.64,7.27,0.36,1.67,2.18,0.77,5.38,1.23,2.55,6.96,No
Don Savage,17.0,10.18,0.88,3.65,0.24,0.88,3.65,0.24,1.41,2.06,0.69,1.82,0.82,1.71,3.18,No
Don Smith,54.0,9.96,2.43,5.94,0.41,2.43,5.94,0.41,0.39,0.39,1.0,0.56,0.87,0.83,5.24,No
Don Sunderlage,113.0,23.33,2.54,7.8,0.33,2.54,7.8,0.33,2.65,3.63,0.73,2.49,1.98,2.83,7.73,No
Donnie Butcher,357.0,19.76,2.27,5.72,0.4,2.27,5.72,0.4,1.78,2.84,0.63,3.22,2.32,2.66,6.33,No
Donnie Freeman,64.0,23.12,4.11,9.47,0.43,4.11,9.47,0.43,2.55,3.11,0.82,2.81,2.67,2.5,10.77,No
Dorie Murrey,428.0,12.15,1.57,3.67,0.43,1.57,3.67,0.43,1.34,1.97,0.68,4.15,0.6,2.28,4.47,No
Doug Bolstorff,3.0,7.0,0.67,1.67,0.4,0.67,1.67,0.4,0.0,0.0,0.0,0.0,0.0,0.33,1.33,No
Doug Collins,367.0,34.48,7.29,14.45,0.5,7.29,14.45,0.5,3.91,4.73,0.83,3.31,3.34,3.12,18.49,No
Doug Kistler,5.0,2.6,0.6,1.2,0.5,0.6,1.2,0.5,0.4,0.8,0.5,0.2,0.0,0.4,1.6,No
Doug Sims,4.0,3.0,0.5,1.25,0.4,0.5,1.25,0.4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,No
Duane Klueh,165.0,0.0,2.88,7.79,0.37,2.88,7.79,0.37,2.72,3.81,0.71,1.11,1.6,2.21,8.48,No
Dwight Davis,340.0,23.56,3.32,7.85,0.42,3.32,7.85,0.42,1.99,2.72,0.73,5.86,1.56,3.16,8.64,No
Dwight Jones,452.0,22.62,3.33,7.31,0.46,3.33,7.31,0.46,1.75,2.32,0.75,6.48,1.18,2.83,8.41,No
Dwight Waller,11.0,2.64,0.18,0.82,0.22,0.18,0.82,0.22,0.27,0.64,0.43,0.91,0.09,0.73,0.64,No
E.C. Coleman,357.0,26.08,3.09,6.66,0.46,3.09,6.66,0.46,0.97,1.39,0.69,6.03,1.32,3.39,7.15,No
Earl Dodd,9.0,0.0,0.67,3.0,0.22,0.67,3.0,0.22,0.33,0.56,0.6,0.0,0.67,1.44,1.67,No
Earl Lloyd,560.0,25.85,3.15,8.85,0.36,3.15,8.85,0.36,2.05,2.74,0.75,6.44,1.45,3.75,8.36,Yes
Earl Monroe,938.0,32.35,7.5,16.21,0.46,7.5,16.21,0.46,4.01,4.98,0.8,3.05,3.91,2.67,19.0,Yes
Earl Tatum,390.0,22.46,4.78,10.35,0.46,4.78,10.35,0.46,1.24,1.63,0.76,2.76,2.19,2.59,10.79,No
Earl Williams,146.0,12.89,1.99,4.6,0.43,1.99,4.6,0.43,0.58,1.21,0.47,5.58,0.86,1.85,4.55,No
Earnie Killum,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.25,1.0,0.5,0.0,0.25,0.25,No
Easy Parham,73.0,0.0,1.9,5.85,0.33,1.9,5.85,0.33,1.23,2.52,0.49,0.12,1.84,2.19,5.04,No
Ed Bartels,47.0,0.0,1.45,5.72,0.25,1.45,5.72,0.25,1.32,2.43,0.54,1.79,1.11,2.38,4.21,No
Ed Beach,24.0,0.0,0.67,3.17,0.21,0.67,3.17,0.21,0.5,0.75,0.67,2.08,0.25,1.17,1.83,No
Ed Biedenbach,7.0,2.57,0.0,0.86,0.0,0.0,0.86,0.0,0.57,0.86,0.67,0.29,0.43,0.14,0.57,No
Ed Burton,15.0,4.67,0.93,2.27,0.41,0.93,2.27,0.41,0.33,0.73,0.45,1.2,0.2,1.07,2.2,No
Ed Conlin,558.0,23.92,3.93,10.63,0.37,3.93,10.63,0.37,2.44,3.28,0.75,4.92,1.94,2.27,10.3,No
Ed Dahler,14.0,8.0,1.0,2.71,0.37,1.0,2.71,0.37,0.5,0.5,1.0,1.57,0.36,1.14,2.5,No
Ed Earle,2.0,6.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,2.0,0.5,1.0,0.0,0.0,2.0,No
Ed Fleming,292.0,21.18,2.95,8.23,0.36,2.95,8.23,0.36,2.7,3.69,0.73,5.25,1.86,2.36,8.6,No
Ed Gayda,15.0,0.0,1.27,3.07,0.41,1.27,3.07,0.41,1.2,1.6,0.75,2.6,0.87,2.27,3.73,No
Ed Kalafat,209.0,20.85,2.34,6.8,0.34,2.34,6.8,0.34,2.36,3.44,0.69,5.66,1.48,3.27,7.05,No
Ed Leede,121.0,0.0,2.42,7.25,0.33,2.42,7.25,0.33,3.0,4.17,0.72,0.98,1.86,2.57,7.84,No
Ed Macauley,641.0,28.19,5.84,13.4,0.44,5.84,13.4,0.44,5.85,7.69,0.76,6.75,3.24,2.6,17.53,Yes
Ed Manning,347.0,13.8,2.08,5.04,0.41,2.08,5.04,0.41,0.73,1.03,0.71,4.31,0.68,2.06,4.89,No
Ed Mikan,451.0,8.22,2.06,6.5,0.32,2.06,6.5,0.32,1.63,2.15,0.76,3.0,0.84,2.64,5.76,No
Ed Peterson,168.0,0.0,2.54,6.89,0.37,2.54,6.89,0.37,1.84,2.89,0.64,3.43,0.98,3.42,6.92,No
Ed Ratleff,338.0,24.95,3.43,7.56,0.45,3.43,7.56,0.45,1.46,1.82,0.8,4.03,2.65,2.37,8.32,No
Ed Sadowski,138.0,0.0,4.33,13.36,0.32,4.33,13.36,0.32,3.97,5.41,0.73,0.0,1.97,3.54,12.64,No
Ed Searcy,4.0,3.0,0.5,1.5,0.33,0.5,1.5,0.33,0.5,0.5,1.0,0.0,0.25,1.0,1.5,No
Ed Smith,12.0,10.58,1.17,4.08,0.29,1.17,4.08,0.29,0.58,1.08,0.54,2.67,0.83,1.42,2.92,No
Ed Stanczak,76.0,0.0,2.25,6.66,0.34,2.25,6.66,0.34,3.14,4.14,0.76,0.47,0.97,2.82,7.64,No
Eddie Johnson,157.0,27.31,5.31,10.62,0.5,5.31,10.62,0.5,2.59,3.14,0.83,2.06,3.79,3.01,13.2,No
Eddie Jordan,228.0,20.55,3.64,8.93,0.41,3.64,8.93,0.41,2.08,2.67,0.78,1.99,3.15,1.74,9.37,No
Eddie Mast,112.0,7.87,1.02,2.64,0.39,1.02,2.64,0.39,0.49,0.81,0.6,2.37,0.46,1.02,2.53,No
Eddie Miles,652.0,26.04,5.43,12.34,0.44,5.43,12.34,0.44,2.53,3.38,0.75,3.12,2.01,2.29,13.39,No
Eddie Miller,212.0,26.85,3.73,10.2,0.37,3.73,10.2,0.37,2.85,4.2,0.68,8.84,1.53,3.27,10.31,No
Eddie Owens,8.0,7.88,1.12,2.62,0.43,1.12,2.62,0.43,0.38,0.75,0.5,1.25,0.62,1.12,2.62,No
Elgin Baylor,846.0,40.03,10.28,23.84,0.43,10.28,23.84,0.43,6.81,8.74,0.78,13.55,4.31,3.07,27.36,Yes
Elmer Behnke,4.0,13.75,1.5,5.5,0.27,1.5,5.5,0.27,1.0,1.75,0.57,4.25,1.0,3.25,4.0,No
Elmer Gainer,15.0,0.0,0.6,2.33,0.26,0.6,2.33,0.26,0.4,0.53,0.75,0.0,0.47,1.87,1.6,No
Elmore Smith,632.0,30.61,5.4,11.21,0.48,5.4,11.21,0.48,2.09,3.63,0.58,10.13,1.35,3.4,12.88,No
Elvin Hayes,897.0,41.87,9.51,21.09,0.45,9.51,21.09,0.45,4.67,6.96,0.67,14.46,2.0,3.28,23.69,Yes
Em Bryant,566.0,20.23,2.65,6.48,0.41,2.65,6.48,0.41,1.27,1.84,0.69,2.81,3.0,3.05,6.58,No
Eric Fernsten,79.0,7.56,0.87,2.37,0.37,0.87,2.37,0.37,0.76,1.08,0.71,1.97,0.56,0.65,2.51,No
Eric McWilliams,44.0,5.57,0.77,2.23,0.35,0.77,2.23,0.35,0.41,0.84,0.49,1.36,0.11,1.05,1.95,No
Eric Money,435.0,25.88,5.54,11.23,0.49,5.54,11.23,0.49,1.89,2.55,0.74,2.19,3.91,2.77,12.97,No
Ernie Barrett,131.0,15.97,2.04,5.53,0.37,2.04,5.53,0.37,0.82,1.09,0.75,2.62,1.75,2.29,4.89,No
Ernie Beck,381.0,18.73,2.46,6.44,0.38,2.46,6.44,0.38,1.24,1.63,0.76,3.19,1.8,1.78,6.17,No
Ernie DiGregorio,364.0,23.26,3.73,8.96,0.42,3.73,8.96,0.42,1.34,1.49,0.9,1.81,4.76,1.92,8.79,No
Ernie Grunfeld,155.0,19.61,3.42,7.24,0.47,3.42,7.24,0.47,1.84,2.54,0.72,3.57,2.33,2.39,8.68,No
Ernie Vandeweghe,224.0,16.07,3.65,8.67,0.42,3.65,8.67,0.42,2.23,3.01,0.74,3.72,2.45,3.36,9.53,No
Erwin Mueller,655.0,22.96,2.99,6.92,0.43,2.99,6.92,0.43,1.6,2.55,0.63,4.91,2.13,2.13,7.58,No
Essie Hollis,25.0,6.16,1.2,3.0,0.4,1.2,3.0,0.4,0.36,0.48,0.75,1.8,0.24,1.12,2.76,No
Fatty Taylor,79.0,19.59,1.67,3.97,0.42,1.67,3.97,0.42,0.47,0.82,0.57,2.67,3.65,2.56,3.81,No
Floyd Volker,108.0,0.0,3.02,9.76,0.31,3.02,9.76,0.31,1.31,2.39,0.55,0.0,2.07,3.13,7.35,No
Flynn Robinson,696.0,24.23,5.71,12.68,0.45,5.71,12.68,0.45,3.35,3.97,0.84,2.78,3.16,2.56,14.77,No
Foots Walker,351.0,22.26,2.58,5.93,0.44,2.58,5.93,0.44,1.56,2.1,0.75,2.79,4.3,2.16,6.73,No
Forest Able,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,No
Fran Curran,66.0,0.0,1.48,3.56,0.42,1.48,3.56,0.42,3.02,3.65,0.83,0.0,1.08,1.71,5.98,No
Frank Gates,64.0,0.0,1.77,6.28,0.28,1.77,6.28,0.28,0.95,1.53,0.62,0.0,1.42,2.3,4.48,No
