Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,FT%,TRB,AST,PF,PTS,HoF
Pete Brennan,16.0,8.5,0.81,2.69,0.3,0.81,2.69,0.3,0.88,1.56,0.56,1.94,0.38,0.94,2.5,No
Pete Cross,211.0,18.64,1.94,4.55,0.43,1.94,4.55,0.43,1.23,1.8,0.68,7.49,0.94,1.92,5.1,No
Pete Darcey,12.0,7.5,0.25,1.5,0.17,0.25,1.5,0.17,0.42,0.75,0.56,0.83,0.17,2.42,0.92,No
Pete Maravich,615.0,37.97,9.66,21.92,0.44,9.66,21.92,0.44,5.65,6.89,0.82,4.34,5.66,2.9,24.97,Yes
Phil Bond,7.0,3.0,0.29,0.86,0.33,0.29,0.86,0.33,0.0,0.0,0.0,0.57,0.29,0.14,0.57,No
Phil Chenier,526.0,34.57,7.55,16.9,0.45,7.55,16.9,0.45,3.1,3.84,0.81,3.76,3.13,2.05,18.21,No
Phil Ford,79.0,34.47,5.91,12.71,0.47,5.91,12.71,0.47,4.13,5.08,0.81,2.3,8.62,3.1,15.95,No
Phil Hankinson,31.0,6.03,1.81,3.68,0.49,1.81,3.68,0.49,0.32,0.42,0.77,1.84,0.19,0.68,3.94,No
Phil Hicks,94.0,6.94,1.06,2.35,0.45,1.06,2.35,0.45,0.27,0.33,0.81,1.7,0.6,1.0,2.39,No
Phil Jackson,791.0,17.71,2.59,5.74,0.45,2.59,5.74,0.45,1.6,2.18,0.74,4.34,1.12,2.95,6.78,Yes
Phil Jordon,579.0,23.75,4.35,10.95,0.4,4.35,10.95,0.4,2.03,2.91,0.7,6.91,1.7,2.81,10.72,No
Phil Lumpkin,82.0,14.17,1.32,3.11,0.42,1.32,3.11,0.42,0.68,0.84,0.81,1.0,2.74,1.29,3.32,No
Phil Martin,7.0,6.71,0.71,2.71,0.26,0.71,2.71,0.26,0.29,0.29,1.0,1.43,0.86,1.0,1.71,No
Phil Rollins,282.0,15.07,1.92,5.09,0.38,1.92,5.09,0.38,1.13,1.71,0.66,2.16,2.42,1.74,4.98,No
Phil Sellers,44.0,7.48,1.66,4.32,0.38,1.66,4.32,0.38,1.18,1.64,0.72,0.93,0.57,1.27,4.5,No
Phil Smith,379.0,31.55,6.99,14.55,0.48,6.99,14.55,0.48,3.31,4.19,0.79,3.59,3.9,2.56,17.28,No
Phil Walker,40.0,9.6,1.42,4.03,0.35,1.42,4.03,0.35,1.6,2.4,0.67,1.3,1.35,0.98,4.45,No
Pickles Kennedy,7.0,7.43,0.57,3.0,0.19,0.57,3.0,0.19,0.57,0.86,0.67,1.14,1.29,0.86,1.71,No
Plummer Lott,67.0,9.52,0.94,3.19,0.29,0.94,3.19,0.29,0.31,0.54,0.58,1.84,0.64,1.1,2.19,No
Porter Meriwether,31.0,8.65,1.55,3.94,0.39,1.55,3.94,0.39,0.74,1.06,0.7,0.94,1.39,0.61,3.84,No
Price Brookfield,7.0,0.0,1.57,3.29,0.48,1.57,3.29,0.48,1.71,1.86,0.92,0.0,0.14,1.0,4.86,No
Purvis Short,75.0,22.71,4.92,10.28,0.48,4.92,10.28,0.48,0.76,1.13,0.67,4.63,1.29,3.11,10.6,No
Quinn Buckner,242.0,24.48,3.57,7.9,0.45,3.57,7.9,0.45,1.21,1.99,0.61,2.98,5.36,3.31,8.35,No
Ralph Beard,126.0,0.0,5.94,16.24,0.37,5.94,16.24,0.37,4.03,5.24,0.77,1.99,4.37,1.81,15.92,No
Ralph Davis,150.0,21.35,3.63,8.88,0.41,3.63,8.88,0.41,0.7,1.03,0.68,1.65,2.83,2.09,7.97,No
Ralph Johnson,271.0,8.47,3.45,10.69,0.32,3.45,10.69,0.32,1.57,2.08,0.75,1.84,2.73,3.36,8.47,No
Ralph O'Brien,174.0,17.78,2.41,6.81,0.35,2.41,6.81,0.35,1.6,1.91,0.83,1.51,1.36,1.51,6.43,No
Ralph Ogden,32.0,5.06,0.53,2.22,0.24,0.53,2.22,0.24,0.25,0.38,0.67,1.0,0.28,0.53,1.31,No
Ralph Polson,98.0,16.53,1.33,3.65,0.36,1.33,3.65,0.36,1.24,1.96,0.64,4.31,0.49,2.08,3.9,No
