Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HoF
Bobby Simmons,466.0,228.0,24.71,3.33,7.62,0.44,0.81,2.05,0.4,2.52,5.57,0.45,0.49,1.52,1.85,0.82,1.2,2.64,3.84,1.52,0.85,0.18,1.12,2.47,8.99,No
Bogdan Bogdanović,209.0,98.0,28.17,4.99,11.49,0.43,2.04,5.46,0.37,2.94,6.02,0.49,0.52,1.53,1.9,0.81,0.46,2.76,3.22,3.5,1.0,0.22,1.65,2.14,13.55,No
Bojan Bogdanović,543.0,399.0,28.09,4.94,10.78,0.46,1.87,4.8,0.39,3.07,5.98,0.51,0.54,2.4,2.78,0.86,0.48,2.99,3.47,1.47,0.53,0.08,1.57,1.64,14.15,No
Bol Bol,7.0,0.0,12.43,2.0,4.0,0.5,0.57,1.29,0.44,1.43,2.71,0.53,0.57,1.14,1.43,0.8,0.71,2.0,2.71,0.86,0.29,0.86,1.43,1.57,5.71,No
Boniface N'Dong,23.0,1.0,6.61,0.96,2.3,0.42,0.0,0.04,0.0,0.96,2.26,0.42,0.42,0.26,0.39,0.67,0.65,0.96,1.61,0.3,0.09,0.22,0.26,1.0,2.17,No
Bonzi Wells,736.0,309.0,25.23,4.66,10.23,0.46,0.35,1.09,0.32,4.31,9.14,0.47,0.47,2.15,3.08,0.7,1.31,3.21,4.52,2.02,1.27,0.33,2.01,2.55,11.81,No
Bonzie Colson,8.0,2.0,12.25,1.62,4.88,0.33,0.62,2.62,0.24,1.0,2.25,0.44,0.4,1.0,1.12,0.89,1.0,2.75,3.75,0.38,0.62,0.12,0.38,0.38,4.88,No
Boris Diaw,1202.0,658.0,27.41,3.67,7.44,0.49,0.48,1.41,0.34,3.18,6.03,0.53,0.53,0.98,1.37,0.71,1.2,3.24,4.45,3.51,0.62,0.49,1.85,2.16,8.8,No
Boštjan Nachbar,424.0,44.0,17.62,2.26,5.66,0.4,0.99,2.67,0.37,1.27,2.99,0.43,0.49,1.33,1.7,0.79,0.37,2.17,2.54,0.91,0.42,0.25,0.89,2.23,6.85,No
Bracey Wright,26.0,0.0,12.5,1.73,4.27,0.41,0.46,1.42,0.32,1.27,2.85,0.45,0.46,1.04,1.31,0.79,0.38,1.12,1.5,0.77,0.38,0.04,0.54,0.54,4.96,No
Brad Branson,72.0,5.0,11.89,2.11,5.0,0.42,0.0,0.01,0.0,2.11,4.99,0.42,0.42,1.21,1.67,0.72,1.21,1.65,2.86,0.72,0.44,0.42,0.81,1.36,5.43,No
Brad Daugherty,548.0,546.0,36.55,6.98,13.12,0.53,0.0,0.03,0.14,6.97,13.09,0.53,0.53,5.0,6.7,0.75,2.2,7.34,9.54,3.7,0.77,0.72,2.76,2.68,18.96,No
Brad Davis,919.0,396.0,23.87,3.2,6.26,0.51,0.29,0.92,0.32,2.91,5.35,0.54,0.53,1.77,2.14,0.83,0.33,1.53,1.85,5.03,0.8,0.16,1.46,2.28,8.48,No
Brad Holland,107.0,6.0,8.22,1.36,3.47,0.39,0.04,0.22,0.17,1.32,3.24,0.41,0.4,0.52,0.72,0.73,0.23,0.44,0.67,0.76,0.54,0.04,0.56,0.88,3.27,No
Brad Lohaus,868.0,190.0,16.28,2.45,5.57,0.44,0.57,1.56,0.36,1.89,4.0,0.47,0.49,0.62,0.84,0.74,0.77,2.21,2.98,1.14,0.47,0.76,0.88,2.01,6.09,No
Brad Miller,1014.0,716.0,28.5,4.05,8.4,0.48,0.22,0.66,0.34,3.82,7.74,0.49,0.49,3.11,3.87,0.8,2.08,5.18,7.26,2.82,0.76,0.66,1.59,2.81,11.43,No
Brad Sellers,457.0,123.0,17.19,2.47,5.52,0.45,0.01,0.08,0.17,2.46,5.44,0.45,0.45,1.11,1.4,0.79,1.02,1.5,2.52,1.02,0.34,0.59,0.83,1.65,6.07,No
Brad Wanamaker,107.0,1.0,16.0,1.98,4.36,0.45,0.5,1.32,0.38,1.49,3.05,0.49,0.51,1.4,1.53,0.91,0.23,1.5,1.73,2.2,0.68,0.15,0.89,1.56,5.86,No
Brad Wright,16.0,0.0,9.06,1.31,3.19,0.41,0.0,0.06,0.0,1.31,3.12,0.42,0.41,0.75,1.75,0.43,1.56,1.81,3.38,0.06,0.19,0.38,0.94,1.44,3.38,No
Bradley Beal,545.0,511.0,34.55,7.64,16.89,0.45,2.28,6.0,0.38,5.36,10.89,0.49,0.52,3.41,4.23,0.81,0.83,3.15,3.98,3.98,1.14,0.39,2.28,2.2,20.96,No
Brandan Wright,568.0,72.0,16.12,2.86,4.71,0.61,0.0,0.03,0.0,2.86,4.69,0.61,0.61,0.98,1.44,0.68,1.37,2.27,3.64,0.47,0.48,0.99,0.45,1.31,6.69,No
Branden Dawson,6.0,0.0,4.83,0.33,0.83,0.4,0.0,0.0,0.0,0.33,0.83,0.4,0.4,0.17,0.17,1.0,0.33,0.33,0.67,0.0,0.0,0.17,0.0,0.33,0.83,No
Brandin Knight,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No
Brandon Armstrong,108.0,0.0,6.47,0.94,2.66,0.35,0.23,0.69,0.33,0.7,1.96,0.36,0.4,0.11,0.19,0.6,0.2,0.38,0.58,0.22,0.2,0.04,0.34,0.77,2.21,No
Brandon Bass,758.0,283.0,21.65,3.37,6.76,0.5,0.02,0.08,0.21,3.36,6.68,0.5,0.5,1.91,2.3,0.83,1.5,3.05,4.55,0.8,0.39,0.63,0.95,1.81,8.67,No
Brandon Clarke,58.0,4.0,22.41,5.1,8.26,0.62,0.4,1.1,0.36,4.71,7.16,0.66,0.64,1.47,1.93,0.76,1.59,4.36,5.95,1.4,0.55,0.83,0.95,1.72,12.07,No
Brandon Davies,105.0,12.0,13.53,1.56,3.83,0.41,0.17,0.74,0.23,1.39,3.09,0.45,0.43,0.78,1.21,0.65,1.09,1.53,2.62,0.84,0.57,0.21,0.89,2.0,4.08,No
Brandon Goodwin,50.0,1.0,9.74,1.64,4.26,0.38,0.56,1.86,0.3,1.08,2.4,0.45,0.45,0.74,0.82,0.9,0.24,1.26,1.5,1.3,0.24,0.08,0.64,1.0,4.58,No
Brandon Hunter,67.0,12.0,9.4,1.34,2.82,0.48,0.0,0.04,0.0,1.34,2.78,0.48,0.48,0.6,1.22,0.49,1.12,1.67,2.79,0.33,0.25,0.12,0.66,1.22,3.28,No
Brandon Ingram,252.0,213.0,32.21,5.96,12.98,0.46,1.1,3.06,0.36,4.87,9.93,0.49,0.5,3.31,4.58,0.72,0.83,4.24,5.07,3.21,0.73,0.59,2.31,2.58,16.33,No
Brandon Jennings,684.0,449.0,28.53,4.46,11.61,0.38,1.53,4.47,0.34,2.94,7.14,0.41,0.45,2.28,2.88,0.79,0.55,2.31,2.85,5.43,1.14,0.16,2.03,1.71,12.73,No
